run,gen,filename,gap
1,21,778_40_01010101,0.009509
1,21,778_264_01010101,0.010858
1,21,221_98_01010101,0.010958
1,21,221_153_01010101,0.013113
1,21,221_273_01010101,0.013620
1,21,221_772_01010101,0.013858
1,21,778_1141_01010101,0.014319
1,21,221_465_01010101,0.015420
1,21,221_264_01010101,0.017491
1,21,453_1201_01010101,0.047478
1,21,778_681_01010101,0.106667
1,21,778_687_01010101,0.119511
1,21,778_138_01010101,0.120496
1,21,221_152_01010101,0.126945
1,21,778_215_01010101,0.139992
1,21,268_49_01010101,0.142970
1,21,778_1047_01010101,0.183205
1,21,143_1141_01010101,0.276741
1,21,221_1141_01010101,0.298578
1,21,28_1012_01010101,0.728338
1,21,1144_264_01010101,0.822428
1,21,185_772_01010101,1.606857
1,22,778_153_01010101,0.001834
1,22,221_1201_01010101,0.004187
1,22,778_98_01010101,0.004275
1,22,221_806_01010101,0.005626
1,22,221_1012_01010101,0.006246
1,22,778_772_01010101,0.007363
1,22,221_49_01010101,0.008164
1,22,778_1012_01010101,0.008222
1,22,221_247_01010101,0.008257
1,22,221_924_01010101,0.008417
1,22,221_138_01010101,0.008794
1,22,778_40_01010101,0.009509
1,22,778_264_01010101,0.010858
1,22,221_98_01010101,0.010958
1,22,221_153_01010101,0.013113
1,22,221_40_01010101,0.013200
1,22,221_273_01010101,0.013620
1,22,221_772_01010101,0.013858
1,22,221_264_01010101,0.017491
1,22,221_562_01010101,0.081806
1,22,778_884_01010101,0.110384
1,22,778_138_01010101,0.120496
1,22,221_329_01010101,0.175424
1,22,778_674_01010101,0.179277
1,22,610_1012_01010101,0.198506
1,22,221_1170_01010101,0.214590
1,22,238_49_01010101,0.364161
1,22,788_1012_01010101,0.412533
1,22,408_98_01010101,0.615442
1,22,620_138_01010101,0.627062
1,22,563_40_01010101,0.769718
1,22,617_138_01010101,0.918742
1,23,778_153_01010101,0.001834
1,23,221_1201_01010101,0.004187
1,23,778_98_01010101,0.004275
1,23,221_806_01010101,0.005626
1,23,221_1012_01010101,0.006246
1,23,778_772_01010101,0.007363
1,23,221_49_01010101,0.008164
1,23,778_1012_01010101,0.008222
1,23,221_247_01010101,0.008257
1,23,221_924_01010101,0.008417
1,23,221_138_01010101,0.008794
1,23,778_40_01010101,0.009509
1,23,778_264_01010101,0.010858
1,23,221_98_01010101,0.010958
1,23,221_153_01010101,0.013113
1,23,221_40_01010101,0.013200
1,23,778_247_01010101,0.013215
1,23,221_772_01010101,0.013858
1,23,221_264_01010101,0.017491
1,23,221_665_01010101,0.026491
1,23,221_243_01010101,0.097799
1,23,778_924_01010101,0.104153
1,23,221_109_01010101,0.112318
1,23,778_138_01010101,0.120496
1,23,221_1004_01010101,0.151423
1,23,778_187_01010101,0.193276
1,23,221_942_01010101,0.348982
1,23,736_924_01010101,0.664574
1,23,896_772_01010101,0.692438
1,23,601_153_01010101,0.773514
1,23,311_40_01010101,0.948253
1,23,941_40_01010101,1.183999
1,24,778_153_01010101,0.001834
1,24,221_1201_01010101,0.004187
1,24,778_98_01010101,0.004275
1,24,221_806_01010101,0.005626
1,24,221_1012_01010101,0.006246
1,24,778_772_01010101,0.007363
1,24,221_49_01010101,0.008164
1,24,778_1012_01010101,0.008222
1,24,221_247_01010101,0.008257
1,24,221_924_01010101,0.008417
1,24,221_138_01010101,0.008794
1,24,778_40_01010101,0.009509
1,24,778_264_01010101,0.010858
1,24,221_98_01010101,0.010958
1,24,221_153_01010101,0.013113
1,24,221_40_01010101,0.013200
1,24,778_247_01010101,0.013215
1,24,778_49_01010101,0.016655
1,24,221_264_01010101,0.017491
1,24,221_901_01010101,0.068513
1,24,221_1056_01010101,0.083594
1,24,105_98_01010101,0.101467
1,24,778_1150_01010101,0.165636
1,24,221_203_01010101,0.228548
1,24,520_1201_01010101,0.345430
1,24,423_153_01010101,0.440554
1,24,944_1012_01010101,0.574614
1,24,221_280_01010101,0.702009
1,24,834_1012_01010101,0.920555
1,24,784_40_01010101,0.946084
1,24,1026_98_01010101,1.176733
1,24,1159_98_01010101,1.539276
1,25,778_153_01010101,0.001834
1,25,221_1201_01010101,0.004187
1,25,778_98_01010101,0.004275
1,25,221_806_01010101,0.005626
1,25,221_1012_01010101,0.006246
1,25,778_772_01010101,0.007363
1,25,221_49_01010101,0.008164
1,25,778_1012_01010101,0.008222
1,25,221_247_01010101,0.008257
1,25,221_924_01010101,0.008417
1,25,221_138_01010101,0.008794
1,25,778_40_01010101,0.009509
1,25,221_270_01010101,0.010342
1,25,778_264_01010101,0.010858
1,25,221_98_01010101,0.010958
1,25,221_153_01010101,0.013113
1,25,221_40_01010101,0.013200
1,25,221_264_01010101,0.017491
1,25,221_617_01010101,0.025593
1,25,221_1191_01010101,0.045522
1,25,221_493_01010101,0.078041
1,25,778_924_01010101,0.104153
1,25,778_272_01010101,0.156007
1,25,778_229_01010101,0.197293
1,25,910_1012_01010101,0.446699
1,25,700_153_01010101,0.504259
1,25,759_1012_01010101,0.515956
1,25,221_69_01010101,0.527395
1,25,973_138_01010101,0.651427
1,25,1203_153_01010101,0.867519
1,25,714_49_01010101,1.385831
1,25,53_40_01010101,1.653327
1,26,778_153_01010101,0.001834
1,26,221_1201_01010101,0.004187
1,26,778_98_01010101,0.004275
1,26,778_1101_01010101,0.004485
1,26,221_806_01010101,0.005626
1,26,221_1012_01010101,0.006246
1,26,778_772_01010101,0.007363
1,26,221_49_01010101,0.008164
1,26,778_1012_01010101,0.008222
1,26,221_247_01010101,0.008257
